City,Country,Date,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed
vangaindrano,VANGAINDRANO,1583030749.0,-23.35,47.6,90.0,69.3,78,3.44
coxim,COXIM,1583030476.0,-18.51,-54.76,91.0,72.7,2,4.81
bethel,BETHEL,1583030458.0,41.37,-73.41,41.0,27.0,1,6.93
kavaratti,KAVARATTI,1583030749.0,10.57,72.64,68.0,83.21,100,4.43
kaitangata,KAITANGATA,1583030749.0,-46.28,169.85,73.0,58.21,68,13.91
grand-santi,GRAND-SANTI,1583030532.0,4.25,-54.38,82.0,73.2,13,4.59
predivinsk,PREDIVINSK,1583030750.0,57.07,93.44,95.0,12.94,100,4.16
tongren,TONGREN,1583030750.0,27.72,109.19,82.0,53.55,99,5.03
portlethen,PORTLETHEN,1583030750.0,57.05,-2.13,93.0,39.99,67,16.11
busselton,BUSSELTON,1583030750.0,-33.65,115.33,34.0,77.0,69,15.93
vestmannaeyjar,VESTMANNAEYJAR,1583030624.0,63.44,-20.27,71.0,38.57,100,21.63
padang,PADANG,1583030504.0,-0.95,100.35,57.0,82.89,100,1.97
alice springs,ALICE SPRINGS,1583030470.0,-23.7,133.88,12.0,95.0,100,14.99
sandwick,SANDWICK,1583030750.0,60.0,-1.25,80.0,39.2,70,21.92
santa isabel do rio negro,SANTA ISABEL DO RIO NEGRO,1583030640.0,-0.41,-65.02,76.0,75.74,85,1.97
quatre cocos,QUATRE COCOS,1583030466.0,-20.21,57.76,94.0,77.0,40,4.0
vaini,VAINI,1583030751.0,-21.2,-175.2,74.0,86.0,20,12.75
hermanus,HERMANUS,1583030751.0,-34.42,19.23,81.0,64.99,0,4.0
mataura,MATAURA,1583030751.0,-46.19,168.86,48.0,70.12,41,6.58
oxbow,OXBOW,1583030574.0,49.23,-102.17,64.0,39.2,90,24.16
saint-pierre,SAINT-PIERRE,1583030611.0,-21.34,55.48,78.0,77.0,21,3.36
lompoc,LOMPOC,1583030601.0,34.64,-120.46,81.0,54.0,40,12.75
buta,BUTA,1583030752.0,2.79,24.73,57.0,71.15,35,1.9
east london,EAST LONDON,1583030752.0,-33.02,27.91,76.0,67.8,0,17.11
havelock,HAVELOCK,1583030752.0,34.88,-76.9,35.0,42.8,1,8.05
suez,SUEZ,1583030752.0,29.97,32.53,71.0,51.39,0,7.18
avarua,AVARUA,1583030478.0,-21.21,-159.78,74.0,84.2,1,6.93
maloy,MALOY,1583030753.0,61.94,5.11,56.0,41.0,100,27.51
longyearbyen,LONGYEARBYEN,1583030534.0,78.22,15.64,77.0,-2.2,40,10.29
arraial do cabo,ARRAIAL DO CABO,1583030753.0,-22.97,-42.03,87.0,76.33,89,15.57
victoria,VICTORIA,1583030753.0,22.29,114.16,88.0,80.01,40,4.7
mae sai,MAE SAI,1583030753.0,20.43,99.88,73.0,69.8,0,0.36
esperance,ESPERANCE,1583030475.0,-33.87,121.9,82.0,64.4,90,21.92
annau,ANNAU,1583030753.0,37.89,58.52,87.0,44.6,0,4.7
skibbereen,SKIBBEREEN,1583030754.0,51.55,-9.27,61.0,35.6,40,18.34
san-pedro,SAN-PEDRO,1583030754.0,4.75,-6.64,82.0,84.24,0,15.43
talaya,TALAYA,1583030754.0,61.38,152.75,93.0,1.4,100,1.77
abnub,ABNUB,1583030754.0,27.27,31.15,85.0,49.82,0,9.78
atambua,ATAMBUA,1583030754.0,-9.11,124.89,63.0,84.11,91,5.1
chernyshevskiy,CHERNYSHEVSKIY,1583030754.0,63.01,112.47,93.0,3.85,92,2.42
dalbandin,DALBANDIN,1583030489.0,28.89,64.41,32.0,57.13,0,4.16
hargeysa,HARGEYSA,1583030755.0,9.56,44.06,37.0,63.12,58,10.0
fairbanks,FAIRBANKS,1583030537.0,64.84,-147.72,64.0,5.0,1,3.47
high level,HIGH LEVEL,1583030525.0,58.52,-117.14,60.0,5.0,5,4.7
aklavik,AKLAVIK,1583030755.0,68.22,-135.01,69.0,-13.0,20,4.7
chokurdakh,CHOKURDAKH,1583030755.0,70.63,147.92,85.0,-1.52,0,6.4
kouqian,KOUQIAN,1583030755.0,43.64,126.46,83.0,24.3,79,3.96
houma,HOUMA,1583030755.0,29.6,-90.72,71.0,59.0,1,6.24
broome,BROOME,1583030756.0,42.25,-75.83,78.0,21.99,90,9.17
upernavik,UPERNAVIK,1583030756.0,72.79,-56.15,89.0,-23.28,87,3.8
kodiak,KODIAK,1583030463.0,57.79,-152.41,97.0,33.8,90,4.7
mar del plata,MAR DEL PLATA,1583030714.0,-38.0,-57.56,100.0,68.0,0,2.24
hambantota,HAMBANTOTA,1583030756.0,6.12,81.12,100.0,75.2,0,3.36
saint-philippe,SAINT-PHILIPPE,1583030756.0,-21.36,55.77,78.0,77.0,22,3.36
lavrentiya,LAVRENTIYA,1583030500.0,65.58,-171.0,85.0,-2.11,0,8.37
mahabaleshwar,MAHABALESHWAR,1583030757.0,17.92,73.67,32.0,80.02,0,1.7
hervey bay,HERVEY BAY,1583030757.0,-25.3,152.85,54.0,90.0,75,9.17
severo-yeniseyskiy,SEVERO-YENISEYSKIY,1583030757.0,60.37,93.04,93.0,7.16,37,1.86
bambous virieux,BAMBOUS VIRIEUX,1583030503.0,-20.34,57.76,94.0,77.0,40,5.41
diamantino,DIAMANTINO,1583030757.0,-14.41,-56.45,96.0,70.29,100,2.17
charters towers,CHARTERS TOWERS,1583030757.0,-20.1,146.27,43.0,88.7,0,8.52
norman wells,NORMAN WELLS,1583030758.0,65.28,-126.83,76.0,-9.4,75,4.7
henties bay,HENTIES BAY,1583030758.0,-22.12,14.28,82.0,66.56,100,2.75
surgut,SURGUT,1583030758.0,61.25,73.42,80.0,30.2,100,13.42
teguise,TEGUISE,1583030758.0,29.06,-13.56,77.0,62.6,0,9.17
rio gallegos,RIO GALLEGOS,1583030758.0,-51.62,-69.22,48.0,62.6,100,12.75
codrington,CODRINGTON,1583030758.0,-38.27,141.97,81.0,63.14,100,22.84
grindavik,GRINDAVIK,1583030546.0,63.84,-22.43,74.0,35.6,75,12.75
port alfred,PORT ALFRED,1583030759.0,-33.59,26.89,92.0,62.01,0,3.0
luderitz,LUDERITZ,1583030759.0,-26.65,15.16,93.0,64.4,13,9.17
port macquarie,PORT MACQUARIE,1583030759.0,-31.43,152.92,54.0,91.0,19,8.05
saskylakh,SASKYLAKH,1583030759.0,71.92,114.08,92.0,-0.38,74,11.72
fare,FARE,1583030600.0,-16.7,-151.02,86.0,79.9,100,30.65
sagua la grande,SAGUA LA GRANDE,1583030759.0,22.81,-80.08,63.0,60.8,20,4.7
sorland,SORLAND,1583030760.0,67.67,12.69,61.0,31.06,100,22.64
lokosovo,LOKOSOVO,1583030760.0,61.13,74.82,88.0,29.84,100,13.31
sitka,SITKA,1583030760.0,57.05,-135.33,74.0,37.4,90,5.82
ambilobe,AMBILOBE,1583030760.0,-13.2,49.05,94.0,75.09,8,3.71
januaria,JANUARIA,1583030760.0,-15.48,-44.37,96.0,70.52,100,1.39
namibe,NAMIBE,1583030760.0,-15.2,12.15,76.0,73.18,5,1.25
hammerfest,HAMMERFEST,1583030760.0,70.66,23.68,62.0,24.8,100,21.92
iskateley,ISKATELEY,1583030760.0,67.68,53.15,94.0,15.48,100,11.99
isoka,ISOKA,1583030761.0,-10.16,32.63,99.0,63.18,100,2.44
cacule,CACULE,1583030761.0,-14.5,-42.22,71.0,70.88,97,5.01
pingzhuang,PINGZHUANG,1583030624.0,42.04,119.29,69.0,24.94,95,12.17
mayskiy,MAYSKIY,1583030761.0,47.69,40.1,86.0,26.6,0,6.71
manokwari,MANOKWARI,1583030761.0,-0.87,134.08,82.0,78.69,98,4.52
ponta do sol,PONTA DO SOL,1583030503.0,32.67,-17.1,72.0,62.6,20,4.7
sabang,SABANG,1583030762.0,5.89,95.32,75.0,82.71,7,16.08
nome,NOME,1583030762.0,64.5,-165.41,55.0,9.0,1,4.7
la ronge,LA RONGE,1583030504.0,55.1,-105.28,79.0,26.6,90,13.87
opuwo,OPUWO,1583030762.0,-18.06,13.84,83.0,59.23,53,6.04
chimbote,CHIMBOTE,1583030683.0,-9.09,-78.58,75.0,75.42,100,3.8
jining,JINING,1583030763.0,35.41,116.58,51.0,52.92,4,10.54
monroe,MONROE,1583030534.0,43.15,-77.68,79.0,23.0,90,3.36
rosarito,ROSARITO,1583030723.0,32.33,-117.03,71.0,61.0,75,3.36
raudeberg,RAUDEBERG,1583030763.0,61.99,5.14,56.0,41.0,100,27.51
geraldton,GERALDTON,1583030763.0,-28.77,114.6,51.0,82.4,0,18.34
kapaa,KAPAA,1583030763.0,22.08,-159.32,73.0,82.4,75,23.04
khor,KHOR,1583030763.0,47.89,134.95,86.0,19.85,76,1.07
fez,FEZ,1583030764.0,34.04,-5.0,87.0,55.4,75,3.36
tibacuy,TIBACUY,1583030764.0,4.35,-72.46,40.0,88.18,100,3.69
kaeo,KAEO,1583030764.0,-35.1,173.78,68.0,84.99,56,10.29
awjilah,AWJILAH,1583030764.0,29.11,21.29,74.0,54.9,0,5.08
georgetown,GEORGETOWN,1583030551.0,5.41,100.34,69.0,86.0,20,5.82
airai,AIRAI,1583030671.0,-8.93,125.41,52.0,84.27,87,4.0
yangjiang,YANGJIANG,1583030764.0,21.85,111.97,62.0,78.01,0,2.75
fort nelson,FORT NELSON,1583030584.0,58.81,-122.7,55.0,6.8,20,2.84
kungurtug,KUNGURTUG,1583030765.0,50.6,97.52,88.0,16.05,100,11.95
khatanga,KHATANGA,1583030478.0,71.97,102.5,94.0,1.15,96,13.42
fenyi,FENYI,1583030765.0,27.81,114.67,89.0,55.76,100,2.15
carnarvon,CARNARVON,1583030543.0,-24.87,113.63,58.0,82.4,0,18.34
constitucion,CONSTITUCION,1583030496.0,-35.33,-72.42,85.0,55.42,0,4.03
little current,LITTLE CURRENT,1583030765.0,45.98,-81.92,78.0,12.2,1,4.7
beloha,BELOHA,1583030766.0,-25.17,45.05,86.0,69.31,89,13.67
vire,VIRE,1583030766.0,48.92,-0.83,75.0,44.01,85,18.34
iwanai,IWANAI,1583030766.0,42.97,140.51,96.0,31.33,100,2.64
guangyuan,GUANGYUAN,1583030766.0,32.44,105.82,41.0,60.01,92,7.67
port hedland,PORT HEDLAND,1583030766.0,-20.32,118.57,70.0,91.4,31,10.29
chuy,CHUY,1583030766.0,-33.7,-53.46,86.0,66.97,0,6.2
maniitsoq,MANIITSOQ,1583030766.0,65.42,-52.9,80.0,1.9,99,3.8
dimapur,DIMAPUR,1583030767.0,25.9,93.73,52.0,73.35,0,1.97
springdale,SPRINGDALE,1583030767.0,36.19,-94.13,65.0,59.0,1,5.82
qena,QENA,1583030767.0,26.16,32.72,61.0,49.55,0,5.64
zhuhai,ZHUHAI,1583030767.0,22.28,113.57,88.0,80.01,40,2.24
mugur-aksy,MUGUR-AKSY,1583030767.0,50.35,90.5,82.0,11.88,32,6.22
cabo san lucas,CABO SAN LUCAS,1583030468.0,22.89,-109.91,68.0,70.0,20,5.23
touros,TOUROS,1583030768.0,-5.2,-35.46,94.0,77.0,75,3.36
richards bay,RICHARDS BAY,1583030768.0,-28.78,32.04,68.0,70.27,71,4.83
sao filipe,SAO FILIPE,1583030768.0,14.9,-24.5,62.0,71.83,28,22.3
praia da vitoria,PRAIA DA VITORIA,1583030768.0,38.73,-27.07,82.0,60.8,20,27.27
curumani,CURUMANI,1583030768.0,9.2,-73.54,70.0,74.21,3,6.71
isabela,ISABELA,1583030768.0,6.71,121.97,52.0,89.6,75,8.05
sungaipenuh,SUNGAIPENUH,1583030768.0,-2.08,101.38,86.0,68.0,100,1.83
new norfolk,NEW NORFOLK,1583030472.0,-42.78,147.06,43.0,72.0,100,6.93
mecca,MECCA,1583030769.0,21.43,39.83,67.0,68.27,0,1.92
dikson,DIKSON,1583030769.0,73.51,80.55,79.0,11.52,100,22.44
nedjo,NEDJO,1583030769.0,9.5,35.5,20.0,60.8,98,5.01
balabac,BALABAC,1583030769.0,7.99,117.06,71.0,83.93,39,14.5
santa rosa,SANTA ROSA,1583030588.0,14.31,121.11,65.0,84.99,75,8.05
dukat,DUKAT,1583030769.0,62.55,155.55,91.0,4.05,17,4.72
misrikh,MISRIKH,1583030770.0,27.45,80.52,66.0,68.27,38,2.13
faya,FAYA,1583030770.0,18.39,42.45,76.0,57.2,0,4.7
belize,BELIZE,1583030770.0,17.25,-88.75,88.0,77.0,75,2.53
camacari,CAMACARI,1583030770.0,-12.7,-38.32,78.0,82.4,75,8.05
pangnirtung,PANGNIRTUNG,1583030770.0,66.15,-65.71,90.0,-21.08,31,3.0
springbok,SPRINGBOK,1583030770.0,-29.66,17.89,37.0,67.44,5,2.73
cascais,CASCAIS,1583030652.0,38.7,-9.42,87.0,60.01,40,10.29
luwuk,LUWUK,1583030503.0,-0.95,122.79,69.0,87.37,80,5.55
butaritari,BUTARITARI,1583030771.0,3.07,172.79,81.0,82.49,100,19.22
husavik,HUSAVIK,1583030771.0,66.04,-17.34,64.0,33.8,90,4.7
amangarh,AMANGARH,1583030771.0,34.01,71.93,87.0,53.6,40,4.7
mahibadhoo,MAHIBADHOO,1583030655.0,3.78,72.97,71.0,81.73,49,11.36
vestmanna,VESTMANNA,1583030771.0,62.16,-7.17,95.0,39.2,100,29.97
lubango,LUBANGO,1583030771.0,-14.92,13.49,49.0,56.17,90,6.53
mpraeso,MPRAESO,1583030772.0,6.59,-0.73,93.0,73.38,0,4.27
papanasam,PAPANASAM,1583030772.0,10.93,79.28,83.0,77.0,21,4.7
tairua,TAIRUA,1583030772.0,-37.02,175.85,71.0,75.99,100,11.99
vardo,VARDO,1583030772.0,70.37,31.11,82.0,22.78,60,5.46
grand gaube,GRAND GAUBE,1583030484.0,-20.01,57.66,94.0,77.0,40,5.12
tessalit,TESSALIT,1583030772.0,20.2,1.01,11.0,67.33,0,8.81
kavieng,KAVIENG,1583030772.0,-2.57,150.8,69.0,84.88,75,2.95
saldanha,SALDANHA,1583030772.0,-33.01,17.94,36.0,75.2,0,3.36
utena,UTENA,1583030773.0,55.5,25.6,86.0,34.77,100,16.87
riyadh,RIYADH,1583030537.0,24.69,46.72,29.0,66.2,0,4.7
dingle,DINGLE,1583030773.0,11.0,122.67,64.0,83.03,88,11.21
manica,MANICA,1583030773.0,49.0,-1.17,75.0,44.01,85,18.34
port elizabeth,PORT ELIZABETH,1583030507.0,-33.92,25.57,88.0,64.4,0,10.29
smithers,SMITHERS,1583030773.0,54.78,-127.17,68.0,30.2,40,3.36
gushikawa,GUSHIKAWA,1583030774.0,26.35,127.87,79.0,77.0,75,13.87
naze,NAZE,1583030774.0,28.37,129.48,88.0,69.8,75,11.41
los llanos de aridane,LOS LLANOS DE ARIDANE,1583030553.0,28.66,-17.92,82.0,64.4,90,9.17
clyde river,CLYDE RIVER,1583030478.0,70.47,-68.59,67.0,-23.8,1,18.34
harper,HARPER,1583030774.0,4.38,-7.72,94.0,77.65,31,3.24
abalak,ABALAK,1583030774.0,58.13,68.59,92.0,27.97,100,8.97
farafangana,FARAFANGANA,1583030774.0,-22.82,47.83,75.0,78.12,58,11.72
nanortalik,NANORTALIK,1583030775.0,60.14,-45.24,64.0,13.96,0,13.09
ocampo,OCAMPO,1583030775.0,21.65,-101.5,34.0,61.72,0,5.21
hasaki,HASAKI,1583030775.0,35.73,140.83,50.0,59.0,75,8.05
domoni,DOMONI,1583030775.0,-12.26,44.53,75.0,84.52,100,9.1
owando,OWANDO,1583030775.0,-0.48,15.9,89.0,73.98,100,4.05
alofi,ALOFI,1583030775.0,-19.06,-169.92,62.0,86.0,1,14.99
pisco,PISCO,1583030776.0,-13.7,-76.22,83.0,73.4,75,16.11
yulara,YULARA,1583030776.0,-25.24,130.99,30.0,96.8,100,17.22
caravelas,CARAVELAS,1583030776.0,-17.71,-39.25,81.0,80.83,76,6.87
santa cruz,SANTA CRUZ,1583030514.0,-17.8,-63.17,51.0,82.4,0,10.29
bilibino,BILIBINO,1583030776.0,68.05,166.44,97.0,-2.69,100,3.56
orlik,ORLIK,1583030776.0,52.52,99.83,69.0,8.8,100,7.0
astana,ASTANA,1583030719.0,51.18,71.45,78.0,17.6,100,6.71
campbellsville,CAMPBELLSVILLE,1583030777.0,37.34,-85.34,61.0,32.0,1,4.03
portland,PORTLAND,1583030641.0,45.52,-122.68,80.0,42.01,75,8.05
kruisfontein,KRUISFONTEIN,1583030543.0,-34.0,24.73,91.0,58.28,0,6.55
port hawkesbury,PORT HAWKESBURY,1583030777.0,45.62,-61.35,86.0,32.0,90,4.7
marienburg,MARIENBURG,1583030777.0,54.04,19.03,87.0,43.0,75,13.87
sembakung,SEMBAKUNG,1583030777.0,3.82,117.25,52.0,90.18,98,4.47
laguna,LAGUNA,1583030778.0,38.42,-121.42,50.0,57.99,90,12.75
leningradskiy,LENINGRADSKIY,1583030778.0,69.38,178.42,88.0,2.89,99,13.44
hirado,HIRADO,1583030778.0,33.36,129.55,66.0,55.0,100,8.05
kolosovka,KOLOSOVKA,1583030778.0,56.47,73.61,89.0,26.04,84,12.57
bubaque,BUBAQUE,1583030778.0,11.28,-15.83,60.0,80.51,4,12.06
beringovskiy,BERINGOVSKIY,1583030727.0,63.05,179.32,83.0,-4.0,0,21.94
semme,SEMME,1583030778.0,46.2,1.5,93.0,44.01,100,13.87
port blair,PORT BLAIR,1583030778.0,11.67,92.75,75.0,80.73,1,11.77
deputatskiy,DEPUTATSKIY,1583030548.0,69.3,139.9,63.0,4.82,0,4.76
flers,FLERS,1583030779.0,48.74,-0.57,75.0,42.8,46,18.34
miranda,MIRANDA,1583030779.0,3.25,-76.23,65.0,78.8,75,8.05
otavi,OTAVI,1583030779.0,-19.65,17.33,97.0,62.37,90,2.89
whitehorse,WHITEHORSE,1583030536.0,60.72,-135.05,61.0,12.2,90,16.11
havre-saint-pierre,HAVRE-SAINT-PIERRE,1583030779.0,50.23,-63.6,85.0,17.6,75,10.29
gigmoto,GIGMOTO,1583030780.0,13.78,124.39,73.0,79.52,19,11.61
haines junction,HAINES JUNCTION,1583030780.0,60.75,-137.51,97.0,11.39,100,9.91
bhag,BHAG,1583030780.0,29.04,67.82,55.0,66.92,0,11.1
te anau,TE ANAU,1583030608.0,-45.42,167.72,68.0,60.06,8,0.36
pevek,PEVEK,1583030780.0,69.7,170.31,96.0,-0.49,100,4.47
kahului,KAHULUI,1583030626.0,20.89,-156.47,69.0,75.2,40,13.87
tual,TUAL,1583030780.0,-5.67,132.75,73.0,85.06,100,5.46
thoen,THOEN,1583030781.0,17.61,99.22,25.0,94.26,0,1.5
bud,BUD,1583030781.0,39.45,-86.18,54.0,30.99,5,6.17
eureka,EUREKA,1583030781.0,40.8,-124.16,81.0,48.2,40,16.11
buraydah,BURAYDAH,1583030485.0,26.33,43.98,62.0,53.6,0,8.05
porbandar,PORBANDAR,1583030781.0,21.64,69.61,100.0,68.0,0,3.36
falmouth,FALMOUTH,1583030781.0,50.15,-5.07,86.0,42.8,100,32.21
christchurch,CHRISTCHURCH,1583030623.0,-43.53,172.63,60.0,71.01,67,18.34
anupgarh,ANUPGARH,1583030781.0,29.19,73.21,79.0,61.65,0,8.97
alekseyevka,ALEKSEYEVKA,1583030782.0,50.63,38.69,84.0,30.88,0,5.75
herat,HERAT,1583030782.0,34.5,62.0,93.0,39.2,0,2.24
port augusta,PORT AUGUSTA,1583030782.0,-32.5,137.77,12.0,95.0,86,17.22
lluta,LLUTA,1583030782.0,-16.01,-72.01,93.0,57.2,75,1.03
key largo,KEY LARGO,1583030555.0,25.09,-80.45,54.0,64.0,1,4.7
talnakh,TALNAKH,1583030782.0,69.49,88.4,77.0,6.8,98,20.13
kununurra,KUNUNURRA,1583030782.0,-15.77,128.73,94.0,78.8,75,8.05
pontianak,PONTIANAK,1583030782.0,-0.03,109.33,64.0,88.3,98,3.09
banjar,BANJAR,1583030783.0,-8.19,114.97,84.0,87.8,40,8.05
monrovia,MONROVIA,1583030783.0,6.3,-10.8,91.0,79.03,10,5.84
las vegas,LAS VEGAS,1583030593.0,36.17,-115.14,27.0,64.4,40,5.82
rudnichnyy,RUDNICHNYY,1583030783.0,59.62,52.47,91.0,21.69,99,10.98
yamada,YAMADA,1583030783.0,39.47,141.95,60.0,44.69,74,9.73
lebu,LEBU,1583030490.0,-37.62,-73.65,89.0,52.39,0,2.51
ancud,ANCUD,1583030530.0,-41.87,-73.82,77.0,62.6,0,13.87
qaanaaq,QAANAAQ,1583030784.0,77.48,-69.36,70.0,-24.59,0,5.73
faanui,FAANUI,1583030502.0,-16.48,-151.75,85.0,80.67,100,31.0
luba,LUBA,1583030784.0,3.46,8.55,94.0,82.4,20,5.82
berlevag,BERLEVAG,1583030489.0,70.86,29.09,71.0,29.71,100,15.82
talcahuano,TALCAHUANO,1583030784.0,-36.72,-73.12,93.0,57.2,90,6.93
abu zabad,ABU ZABAD,1583030784.0,12.35,29.25,14.0,66.43,15,14.38
kieta,KIETA,1583030784.0,-6.22,155.63,69.0,85.23,31,6.35
shache,SHACHE,1583030785.0,38.42,77.24,47.0,43.97,99,6.73
iqaluit,IQALUIT,1583030785.0,63.75,-68.51,75.0,-16.01,40,4.7
maple creek,MAPLE CREEK,1583030785.0,49.92,-109.48,89.0,29.03,100,28.59
bac lieu,BAC LIEU,1583030752.0,9.29,105.72,46.0,90.41,15,11.79
huarmey,HUARMEY,1583030785.0,-10.07,-78.15,79.0,72.75,100,3.31
korhogo,KORHOGO,1583030785.0,9.45,-5.63,19.0,72.64,0,4.54
malibu,MALIBU,1583030785.0,34.01,-118.81,72.0,62.6,75,6.93
